name,zone,star,rating,rates,room,size,price,bed,guests,address,link
Motel 6 Los Angeles LAX,Los Angeles Intl. (LAX),2.0,3.0,"1,839","Standard Room, 2 Queen Beds",200,96,2 queen beds,4,W Century Blvd,https://www.expedia.com/Los-Angeles-Intl-Hotels-Motel-6-Los-Angeles-LAX.h49971.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=95.99&exp_ts=1492654042275&exp_curr=USD&exp_pg=HSR
Motel 6 Los Angeles LAX,Los Angeles Intl. (LAX),2.0,3.0,"1,839","Standard Room, 1 King Bed",200,96,1 king bed,2,W Century Blvd,https://www.expedia.com/Los-Angeles-Intl-Hotels-Motel-6-Los-Angeles-LAX.h49971.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=95.99&exp_ts=1492654042275&exp_curr=USD&exp_pg=HSR
Hotel Angeleno,Bel Air - Westwood,3.5,4.0,"2,378",West Coast Double Room,225,189,2 double beds,4,N Church Lane,https://www.expedia.com/Bel-Air-Westwood-Hotels-Hotel-Angeleno.h21848.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=189&exp_ts=1492654042276&exp_curr=USD&exp_pg=HSR
Hotel Angeleno,Bel Air - Westwood,3.5,4.0,"2,378",West Coast Double Room,225,215,2 double beds,4,N Church Lane,https://www.expedia.com/Bel-Air-Westwood-Hotels-Hotel-Angeleno.h21848.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=189&exp_ts=1492654042276&exp_curr=USD&exp_pg=HSR
Hotel Angeleno,Bel Air - Westwood,3.5,4.0,"2,378",West Coast Double Room,225,289,2 double beds,4,N Church Lane,https://www.expedia.com/Bel-Air-Westwood-Hotels-Hotel-Angeleno.h21848.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=189&exp_ts=1492654042276&exp_curr=USD&exp_pg=HSR
Hotel Angeleno,Bel Air - Westwood,3.5,4.0,"2,378",West Coast King Room,225,189,1 king bed,3,N Church Lane,https://www.expedia.com/Bel-Air-Westwood-Hotels-Hotel-Angeleno.h21848.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=189&exp_ts=1492654042276&exp_curr=USD&exp_pg=HSR
Hotel Angeleno,Bel Air - Westwood,3.5,4.0,"2,378",West Coast King Room,225,197,1 king bed,3,N Church Lane,https://www.expedia.com/Bel-Air-Westwood-Hotels-Hotel-Angeleno.h21848.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=189&exp_ts=1492654042276&exp_curr=USD&exp_pg=HSR
Hotel Angeleno,Bel Air - Westwood,3.5,4.0,"2,378",West Coast King Room,225,269,1 king bed,3,N Church Lane,https://www.expedia.com/Bel-Air-Westwood-Hotels-Hotel-Angeleno.h21848.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=189&exp_ts=1492654042276&exp_curr=USD&exp_pg=HSR
Hotel Angeleno,Bel Air - Westwood,3.5,4.0,"2,378",Killer View King Room,225,224,1 king bed,3,N Church Lane,https://www.expedia.com/Bel-Air-Westwood-Hotels-Hotel-Angeleno.h21848.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=189&exp_ts=1492654042276&exp_curr=USD&exp_pg=HSR
Hotel Angeleno,Bel Air - Westwood,3.5,4.0,"2,378",Killer View King Room,225,299,1 king bed,3,N Church Lane,https://www.expedia.com/Bel-Air-Westwood-Hotels-Hotel-Angeleno.h21848.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=189&exp_ts=1492654042276&exp_curr=USD&exp_pg=HSR
Shelter Hotel Los Angeles,Downtown Los Angeles,3.0,3.5,"1,429","Standard Room, 1 King Bed",250,139,1 king bed,2,S Mariposa Ave,https://www.expedia.com/Los-Angeles-Hotels-Shelter-Hotel-Los-Angeles.h16904.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=139&exp_ts=1492654042276&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268","Deluxe Room, 1 King Bed",384,269,1 king bed,3,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=269&exp_ts=1492654042279&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268","Deluxe Room, 1 King Bed",384,328,1 king bed,3,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=269&exp_ts=1492654042279&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268","Deluxe Double Room, 2 Double Beds",384,279,2 full beds,4,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=269&exp_ts=1492654042279&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268","Deluxe Double Room, 2 Double Beds",384,338,2 full beds,4,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=269&exp_ts=1492654042279&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268","Premier Room, 1 King Bed",410,309,1 king bed,3,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=269&exp_ts=1492654042279&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268","Premier Room, 1 King Bed",410,368,1 king bed,3,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=269&exp_ts=1492654042279&exp_curr=USD&exp_pg=HSR
Omni Los Angeles Hotel at California Plaza,Downtown Los Angeles,4.5,4.5,"3,268","Club Room, 1 King Bed",410,379,1 king bed,3,S Olive St,https://www.expedia.com/Los-Angeles-Hotels-Omni-Los-Angeles-Hotel-At-California-Plaza.h18595.Hotel-Information?chkin=4%2F20%2F2017&chkout=4%2F21%2F2017&rm1=a2&regionId=0&hwrqCacheKey=c53cba2e-b324-477b-a3c9-4c3c4998c07bHWRQ1492654040515&vip=false&c=610512c7-066a-4d39-b313-1f37509f9ca0&&exp_dp=269&exp_ts=1492654042279&exp_curr=USD&exp_pg=HSR
