name,zone,star,rating,rates,checkin,checkout,room,size,price,bed,guests,address,link
Days Inn And Suites Artesia,Artesia,2.5,3.7,696,04/21/2017,04/22/2017,"Double Room, Non Smoking",226,155,2 king beds,4,Pioneer Blvd,https://www.expedia.com/Artesia-Hotels-Days-Inn-And-Suites-Artesia.h1677511.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705756487&vip=false&c=84dc555b-5dc2-4dfd-b99e-f6bbf36e2d4f&&exp_dp=110&exp_ts=1492705758935&exp_curr=USD&exp_pg=HSR
Days Inn And Suites Artesia,Artesia,2.5,3.7,696,04/21/2017,04/22/2017,"Suite, 1 King Bed, Non Smoking",161,195,1 king bed,2,Pioneer Blvd,https://www.expedia.com/Artesia-Hotels-Days-Inn-And-Suites-Artesia.h1677511.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705756487&vip=false&c=84dc555b-5dc2-4dfd-b99e-f6bbf36e2d4f&&exp_dp=110&exp_ts=1492705758935&exp_curr=USD&exp_pg=HSR
Best Western Plus Hotel At The Convention Center,Long Beach,2.5,4.3,"2,192",04/21/2017,04/22/2017,"Standard Room, 1 King Bed, Non Smoking",312,169,1 king bed,2,E 1st Street,https://www.expedia.com/Long-Beach-Hotels-Best-Western-Plus-Hotel-At-The-Convention-Center.h1577366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705756487&vip=false&c=84dc555b-5dc2-4dfd-b99e-f6bbf36e2d4f&&exp_dp=169&exp_ts=1492705758935&exp_curr=USD&exp_pg=HSR
Best Western Plus Hotel At The Convention Center,Long Beach,2.5,4.3,"2,192",04/21/2017,04/22/2017,"Standard Room, 1 Double Bed, Accessible, Bathtub",312,169,1 double bed,2,E 1st Street,https://www.expedia.com/Long-Beach-Hotels-Best-Western-Plus-Hotel-At-The-Convention-Center.h1577366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705756487&vip=false&c=84dc555b-5dc2-4dfd-b99e-f6bbf36e2d4f&&exp_dp=169&exp_ts=1492705758935&exp_curr=USD&exp_pg=HSR
Best Western Plus Hotel At The Convention Center,Long Beach,2.5,4.3,"2,192",04/21/2017,04/22/2017,"Standard Room, 2 Double Beds, Non Smoking",312,179,2 double beds,4,E 1st Street,https://www.expedia.com/Long-Beach-Hotels-Best-Western-Plus-Hotel-At-The-Convention-Center.h1577366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705756487&vip=false&c=84dc555b-5dc2-4dfd-b99e-f6bbf36e2d4f&&exp_dp=169&exp_ts=1492705758935&exp_curr=USD&exp_pg=HSR
Best Western Plus Hotel At The Convention Center,Long Beach,2.5,4.3,"2,192",04/21/2017,04/22/2017,"Standard Room, 2 Double Beds, Non Smoking, Balcony",312,189,2 double beds,4,E 1st Street,https://www.expedia.com/Long-Beach-Hotels-Best-Western-Plus-Hotel-At-The-Convention-Center.h1577366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705756487&vip=false&c=84dc555b-5dc2-4dfd-b99e-f6bbf36e2d4f&&exp_dp=169&exp_ts=1492705758935&exp_curr=USD&exp_pg=HSR
Best Western Plus Hotel At The Convention Center,Long Beach,2.5,4.3,"2,192",04/21/2017,04/22/2017,"Suite, 1 King Bed, Non Smoking",640,269,1 king bed,2,E 1st Street,https://www.expedia.com/Long-Beach-Hotels-Best-Western-Plus-Hotel-At-The-Convention-Center.h1577366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705756487&vip=false&c=84dc555b-5dc2-4dfd-b99e-f6bbf36e2d4f&&exp_dp=169&exp_ts=1492705758935&exp_curr=USD&exp_pg=HSR
Hi View Inn & Suites,Beach Cities,2.5,4.0,126,04/21/2017,04/22/2017,"Signature Studio Suite, 1 Bedroom",400,169,1 queen bed,2,S Sepulveda Blvd,https://www.expedia.com/Los-Angeles-Hotels-Hi-View-Inn-Suites.h12411933.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=169&exp_ts=1492705980918&exp_curr=USD&exp_pg=HSR
Best Western Plus San Pedro Hotel & Suites,San Pedro,3.0,4.1,"1,188",04/21/2017,04/22/2017,"Standard Room, 1 King Bed, Accessible, Non Smoking",400,189,1 king bed,2,South Gaffey Street,https://www.expedia.com/San-Pedro-Hotels-Best-Western-Plus-San-Pedro-Hotel-Suites.h23995.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=189&exp_ts=1492705980918&exp_curr=USD&exp_pg=HSR
Best Western Plus San Pedro Hotel & Suites,San Pedro,3.0,4.1,"1,188",04/21/2017,04/22/2017,"Standard Room, 2 Queen Beds, Accessible, Bathtub",400,209,2 queen beds,4,South Gaffey Street,https://www.expedia.com/San-Pedro-Hotels-Best-Western-Plus-San-Pedro-Hotel-Suites.h23995.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=189&exp_ts=1492705980918&exp_curr=USD&exp_pg=HSR
Azusa INN Motel,La Puente,2.5,3.3,28,04/21/2017,04/22/2017,"Room, 1 King Bed, Non Smoking",288,100,1 king bed,2,North Azusa Avenue,https://www.expedia.com/La-Puente-Hotels-Azusa-INN-Motel.h13278872.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=100&exp_ts=1492705980919&exp_curr=USD&exp_pg=HSR
Azusa INN Motel,La Puente,2.5,3.3,28,04/21/2017,04/22/2017,"Room, 1 King Bed, Smoking",288,100,1 king bed,2,North Azusa Avenue,https://www.expedia.com/La-Puente-Hotels-Azusa-INN-Motel.h13278872.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=100&exp_ts=1492705980919&exp_curr=USD&exp_pg=HSR
Torrance Travelodge,Beach Cities,2.0,3.6,840,04/21/2017,04/22/2017,"Standard Room, 1 King Bed",275,99,1 king bed,2,Sepulveda Blvd,https://www.expedia.com/Los-Angeles-Hotels-Torrance-Travelodge.h15328.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=98.99&exp_ts=1492705980919&exp_curr=USD&exp_pg=HSR
Torrance Travelodge,Beach Cities,2.0,3.6,840,04/21/2017,04/22/2017,"Standard Room, 1 King Bed, Smoking",275,99,1 king bed,2,Sepulveda Blvd,https://www.expedia.com/Los-Angeles-Hotels-Torrance-Travelodge.h15328.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=98.99&exp_ts=1492705980919&exp_curr=USD&exp_pg=HSR
Torrance Travelodge,Beach Cities,2.0,3.6,840,04/21/2017,04/22/2017,"Standard Room, 2 Queen Beds",275,109,2 queen beds,4,Sepulveda Blvd,https://www.expedia.com/Los-Angeles-Hotels-Torrance-Travelodge.h15328.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=98.99&exp_ts=1492705980919&exp_curr=USD&exp_pg=HSR
Best Western Plus Hotel At The Convention Center,Long Beach,2.5,4.3,"2,192",04/21/2017,04/22/2017,"Standard Room, 1 King Bed, Non Smoking",312,169,1 king bed,2,E 1st Street,https://www.expedia.com/Long-Beach-Hotels-Best-Western-Plus-Hotel-At-The-Convention-Center.h1577366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=169&exp_ts=1492705980921&exp_curr=USD&exp_pg=HSR
Best Western Plus Hotel At The Convention Center,Long Beach,2.5,4.3,"2,192",04/21/2017,04/22/2017,"Standard Room, 1 Double Bed, Accessible, Bathtub",312,169,1 double bed,2,E 1st Street,https://www.expedia.com/Long-Beach-Hotels-Best-Western-Plus-Hotel-At-The-Convention-Center.h1577366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=169&exp_ts=1492705980921&exp_curr=USD&exp_pg=HSR
Best Western Plus Hotel At The Convention Center,Long Beach,2.5,4.3,"2,192",04/21/2017,04/22/2017,"Standard Room, 2 Double Beds, Non Smoking",312,179,2 double beds,4,E 1st Street,https://www.expedia.com/Long-Beach-Hotels-Best-Western-Plus-Hotel-At-The-Convention-Center.h1577366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=169&exp_ts=1492705980921&exp_curr=USD&exp_pg=HSR
Best Western Plus Hotel At The Convention Center,Long Beach,2.5,4.3,"2,192",04/21/2017,04/22/2017,"Standard Room, 2 Double Beds, Non Smoking, Balcony",312,189,2 double beds,4,E 1st Street,https://www.expedia.com/Long-Beach-Hotels-Best-Western-Plus-Hotel-At-The-Convention-Center.h1577366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=169&exp_ts=1492705980921&exp_curr=USD&exp_pg=HSR
Best Western Plus Hotel At The Convention Center,Long Beach,2.5,4.3,"2,192",04/21/2017,04/22/2017,"Suite, 1 King Bed, Non Smoking",640,269,1 king bed,2,E 1st Street,https://www.expedia.com/Long-Beach-Hotels-Best-Western-Plus-Hotel-At-The-Convention-Center.h1577366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=169&exp_ts=1492705980921&exp_curr=USD&exp_pg=HSR
Azul Inn West Los Angeles - Century City,Bel Air - Westwood,2.0,3.7,"1,375",04/21/2017,04/22/2017,"Standard Room, 1 Queen Bed",110,170,1 queen bed,3,Santa Monica Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Azul-Inn-West-Los-Angeles-Century-City.h10366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=170.1&exp_ts=1492705980922&exp_curr=USD&exp_pg=HSR
Azul Inn West Los Angeles - Century City,Bel Air - Westwood,2.0,3.7,"1,375",04/21/2017,04/22/2017,"Standard Room, 1 King Bed",196,175,1 king bed,4,Santa Monica Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Azul-Inn-West-Los-Angeles-Century-City.h10366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=170.1&exp_ts=1492705980922&exp_curr=USD&exp_pg=HSR
Azul Inn West Los Angeles - Century City,Bel Air - Westwood,2.0,3.7,"1,375",04/21/2017,04/22/2017,"Standard Room, 1 Queen Bed, Accessible, Non Smoking",300,189,1 queen bed,2,Santa Monica Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Azul-Inn-West-Los-Angeles-Century-City.h10366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=170.1&exp_ts=1492705980922&exp_curr=USD&exp_pg=HSR
Azul Inn West Los Angeles - Century City,Bel Air - Westwood,2.0,3.7,"1,375",04/21/2017,04/22/2017,"Standard Room, 1 Queen and 1 Twin, Accessible, Non Smoking",300,189,2 beds,2,Santa Monica Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Azul-Inn-West-Los-Angeles-Century-City.h10366.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=170.1&exp_ts=1492705980922&exp_curr=USD&exp_pg=HSR
Luxe Sunset Boulevard Hotel,Bel Air - Westwood,4.0,4.2,624,04/21/2017,04/22/2017,"Superior Room, 1 King Bed",522,279,1 king bed,3,Sunset Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Luxe-Sunset-Boulevard-Hotel.h28553.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=279&exp_ts=1492705980922&exp_curr=USD&exp_pg=HSR
Luxe Sunset Boulevard Hotel,Bel Air - Westwood,4.0,4.2,624,04/21/2017,04/22/2017,"Superior Room, 2 Double Beds",525,279,1 double bed,4,Sunset Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Luxe-Sunset-Boulevard-Hotel.h28553.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=279&exp_ts=1492705980922&exp_curr=USD&exp_pg=HSR
Luxe Sunset Boulevard Hotel,Bel Air - Westwood,4.0,4.2,624,04/21/2017,04/22/2017,"Executive Suite, 1 King Bed (Junior)",700,349,1 king bed,3,Sunset Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Luxe-Sunset-Boulevard-Hotel.h28553.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=279&exp_ts=1492705980922&exp_curr=USD&exp_pg=HSR
Luxe Sunset Boulevard Hotel,Bel Air - Westwood,4.0,4.2,624,04/21/2017,04/22/2017,"Executive Suite, 2 Double Beds (Junior)",700,349,1 double bed,4,Sunset Blvd,https://www.expedia.com/Bel-Air-Westwood-Hotels-Luxe-Sunset-Boulevard-Hotel.h28553.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=279&exp_ts=1492705980922&exp_curr=USD&exp_pg=HSR
Hacienda Inn,La Puente,2.5,3.2,16,04/21/2017,04/22/2017,"Superior Suite, 1 King Bed, Smoking",250,109,1 king bed,2,N. Hacienda Blvd,https://www.expedia.com/La-Puente-Hotels-Hacienda-Inn.h13278912.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=109.09&exp_ts=1492705980923&exp_curr=USD&exp_pg=HSR
Hyatt Regency Los Angeles International Airport,Los Angeles Intl. (LAX),4.0,3.6,"8,082",04/21/2017,04/22/2017,"Regency, Suite",264,259,1 king bed,3,W Century Blvd,https://www.expedia.com/Los-Angeles-Intl-Hotels-Hyatt-Regency-Los-Angeles-International-Airport.h15407.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=199&exp_ts=1492705980923&exp_curr=USD&exp_pg=HSR
Days Inn And Suites Artesia,Artesia,2.5,3.7,696,04/21/2017,04/22/2017,"Standard Room, 1 King Bed",140,110,1 king bed,2,Pioneer Blvd,https://www.expedia.com/Artesia-Hotels-Days-Inn-And-Suites-Artesia.h1677511.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=110&exp_ts=1492705980923&exp_curr=USD&exp_pg=HSR
Days Inn And Suites Artesia,Artesia,2.5,3.7,696,04/21/2017,04/22/2017,"Suite, 1 King Bed",161,130,1 king bed,3,Pioneer Blvd,https://www.expedia.com/Artesia-Hotels-Days-Inn-And-Suites-Artesia.h1677511.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=110&exp_ts=1492705980923&exp_curr=USD&exp_pg=HSR
Days Inn And Suites Artesia,Artesia,2.5,3.7,696,04/21/2017,04/22/2017,"Standard Room, 2 Queen Beds",226,130,2 queen beds,4,Pioneer Blvd,https://www.expedia.com/Artesia-Hotels-Days-Inn-And-Suites-Artesia.h1677511.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=110&exp_ts=1492705980923&exp_curr=USD&exp_pg=HSR
Days Inn And Suites Artesia,Artesia,2.5,3.7,696,04/21/2017,04/22/2017,"Double Room, Non Smoking",226,155,2 king beds,4,Pioneer Blvd,https://www.expedia.com/Artesia-Hotels-Days-Inn-And-Suites-Artesia.h1677511.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=110&exp_ts=1492705980923&exp_curr=USD&exp_pg=HSR
Days Inn And Suites Artesia,Artesia,2.5,3.7,696,04/21/2017,04/22/2017,"Suite, 1 King Bed, Non Smoking",161,195,1 king bed,2,Pioneer Blvd,https://www.expedia.com/Artesia-Hotels-Days-Inn-And-Suites-Artesia.h1677511.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=110&exp_ts=1492705980923&exp_curr=USD&exp_pg=HSR
Ramada Commerce/Los Angeles Area,Commerce,2.5,3.3,393,04/21/2017,04/22/2017,"Deluxe Room, 1 King Bed",280,159,1 king bed,2,E Gage Avenue,https://www.expedia.com/Commerce-Hotels-Ramada-CommerceLos-Angeles-Area.h10079.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=159&exp_ts=1492705980923&exp_curr=USD&exp_pg=HSR
Ramada Commerce/Los Angeles Area,Commerce,2.5,3.3,393,04/21/2017,04/22/2017,"Deluxe Double Room, 2 Double Beds",280,159,2 full beds,4,E Gage Avenue,https://www.expedia.com/Commerce-Hotels-Ramada-CommerceLos-Angeles-Area.h10079.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=159&exp_ts=1492705980923&exp_curr=USD&exp_pg=HSR
Ramada Commerce/Los Angeles Area,Commerce,2.5,3.3,393,04/21/2017,04/22/2017,"Standard Room, 1 King Bed, Accessible",280,159,1 king bed,2,E Gage Avenue,https://www.expedia.com/Commerce-Hotels-Ramada-CommerceLos-Angeles-Area.h10079.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=159&exp_ts=1492705980923&exp_curr=USD&exp_pg=HSR
Ocean Lodge Santa Monica Beach Hotel,Beach Cities,3.0,3.6,132,04/21/2017,04/22/2017,King Junior Suite 2 Bedrooms,304,249,1 king and 1 queen bed,4,Ocean Avenue Suite 1000,https://www.expedia.com/Los-Angeles-Hotels-Ocean-Lodge-Santa-Monica-Beach-Hotel.h12621912.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=249&exp_ts=1492705980923&exp_curr=USD&exp_pg=HSR
Lexen Hotel Hollywood,Hollywood,2.5,3.8,8,04/21/2017,04/22/2017,"Deluxe Room, 1 Queen Bed",226,229,1 queen bed,2,North Highland Avenue,https://www.expedia.com/Hollywood-Hotels-Lexen-Hotel-Hollywood.h16104969.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=229&exp_ts=1492705980924&exp_curr=USD&exp_pg=HSR
Mondrian Los Angeles,Beverly Hills - West Hollywood,4.5,4.2,"1,415",04/21/2017,04/22/2017,Studio,475,369,1 king bed or 1 queen bed,3,W Sunset Blvd,https://www.expedia.com/Beverly-Hills-West-Hollywood-Hotels-Mondrian-Los-Angeles.h4798.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=369&exp_ts=1492705980924&exp_curr=USD&exp_pg=HSR
Mondrian Los Angeles,Beverly Hills - West Hollywood,4.5,4.2,"1,415",04/21/2017,04/22/2017,"Superior Room, Balcony",325,385,1 king bed,2,W Sunset Blvd,https://www.expedia.com/Beverly-Hills-West-Hollywood-Hotels-Mondrian-Los-Angeles.h4798.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=369&exp_ts=1492705980924&exp_curr=USD&exp_pg=HSR
Mondrian Los Angeles,Beverly Hills - West Hollywood,4.5,4.2,"1,415",04/21/2017,04/22/2017,"Studio, 2 Double Beds",450,399,2 full beds,4,W Sunset Blvd,https://www.expedia.com/Beverly-Hills-West-Hollywood-Hotels-Mondrian-Los-Angeles.h4798.Hotel-Information?chkin=4%2F21%2F2017&chkout=4%2F22%2F2017&rm1=a2&regionId=178280&sort=recommended&hwrqCacheKey=21373081-f57b-4853-8f63-11ae8a634901HWRQ1492705978758&vip=false&c=e03e877f-9f4e-44fd-aaa6-b78d3ecf92a6&&exp_dp=369&exp_ts=1492705980924&exp_curr=USD&exp_pg=HSR
